id,org,village,block,district_raw,district,state,matched_name,status,lat,lon
p0799,TRIF,Chargaon,Bijadandi,Mandla,Mandla,Madhya Pradesh,Chargaon (Bilnagari),exact-block,23.07190059601785,80.25219892313234
p0800,TRIF,Chikli,Manawar,Dhar,Dhar,Madhya Pradesh,Chikli (Balwari),exact-block,22.40492469546409,75.02720105103062
p0801,TRIF,Dedla,Manawar,Dhar,Dhar,Madhya Pradesh,Dedla,exact-block,22.214798753204363,75.03938957848696
p0802,TRIF,Sukhedi,Khategaon,Dewas,Dewas,Madhya Pradesh,,block-centroid,22.60301368009003,76.92845720544854
p0803,TRIF,Chikliya,Thandla,Jhabua,Jhabua,Madhya Pradesh,Chikaliya,fuzzy,23.034572291266425,74.50133348216775
p0804,TRIF,Bhimkund,Thandla,Jhabua,Jhabua,Madhya Pradesh,Bhim Kund,exact-block,23.061753925011338,74.60809269440554
p0805,TRIF,Bhim Kund,Thandla,Jhabua,Jhabua,Madhya Pradesh,Bhim Kund,exact,23.061753925011338,74.60809269440554
p0806,TRIF,Richi,Khategaon,Dewas,Dewas,Madhya Pradesh,Richhi,fuzzy,22.655614321583275,76.89135720482068
p0807,TRIF,Balapur,Chhanvey,Mirzapur,Mirzapur,Uttar Pradesh,Balapur,exact,25.13810649307605,82.41172200867612
p0808,TRIF,Bagedakhurd,Chhanvey,Mirzapur,Mirzapur,Uttar Pradesh,,block-centroid,25.202722521488138,82.37530886039174
p0809,TRIF,Kaimokhar,Muskara,Hamirpur,Hamirpur,Uttar Pradesh,Kaimokhar,exact-block,25.67443577814676,79.92892265338897
p0810,TRIF,Goura,Muskara,Hamirpur,Hamirpur,Uttar Pradesh,Gaura,fuzzy,25.642377775418044,79.84797097786114
p0811,TRIF,Gangauri,Bankati,Basti,Basti,Uttar Pradesh,Garawana Urf Ganwari,exact,26.71073234179431,82.9017322781935
p0812,TRIF,Karapithia,Bankati,Basti,Basti,Uttar Pradesh,,block-centroid,26.733888554567944,82.89224537867365
p0813,TRIF,Devghat,Koraon,Prayagraj,Prayagraj,Uttar Pradesh,Devghat,exact,24.891534729969337,82.0735088667123
p0814,TRIF,Belhat,Koraon,Prayagraj,Prayagraj,Uttar Pradesh,Belhat,exact-block,25.045749435497182,82.12740403626654
p0815,TRIF,Imiliya Khurd,Dubepur,Sultanpur,Sultanpur,Uttar Pradesh, ,fuzzy,26.317349872450603,82.09014633544868
p0816,TRIF,Bandhua Kalan,Dubepur,Sultanpur,Sultanpur,Uttar Pradesh,Bandhuakala,exact,26.265648090883776,81.99305749469832
p0817,TRIF,Pakhodna,Tappal,Aligarh,Aligarh,Uttar Pradesh,Pakhodana,fuzzy,27.924221429156493,77.5488434127173
p0818,TRIF,Ranjit Garhi,Tappal,Aligarh,Aligarh,Uttar Pradesh,,block-centroid,28.017175350953714,77.61395384234407
p0819,TRIF,Manjhra,Mihinpurwa,Bahraich,Bahraich,Uttar Pradesh,,block-centroid,28.08878673667031,81.36055559336823
p0820,TRIF,Ramnagar Taga,Mihinpurwa,Bahraich,Bahraich,Uttar Pradesh,,block-centroid,28.07564410220261,81.29750237280506
p0821,TRIF,Rehunchi,Naraini,Banda,Banda,Uttar Pradesh,,block-centroid,25.166598369914002,80.5683836035035
p0822,TRIF,Pathra,Naraini,Banda,Banda,Uttar Pradesh,Pathara,fuzzy,25.192239464847386,80.58631740398548
p0823,TRIF,Dindashpur,Araji Lines,Varanasi,Varanasi,Uttar Pradesh,Dindaspur,fuzzy,25.52079501423214,82.91510004630433
p0824,TRIF,Bhedha,Araji Lines,Varanasi,Varanasi,Uttar Pradesh,,district-centroid,25.24565873385202,82.90036799854755
p0825,TRIF,Uparberga,Gola,Ramgarh,Ramgarh,Jharkhand,Uparbarga,fuzzy,23.48670009273245,85.86562945100157
p0826,TRIF,Sutri,Gola,Ramgarh,Ramgarh,Jharkhand,Sutri,exact,23.597804667103055,85.7761398708111
